"","treatment_period","week_id","grid_id","treatment","camera_id","deployment_id","start_time","common_name","group_size"
"34",1,2,"N2","control","N2T2","MFP W2 N2T2","8/6/24 10:29","Human",1
"35",1,2,"N2","control","N2T3","MFP W2 N2T3","8/2/24 11:43","Human",NA
"36",1,2,"N2","control","N2T3","MFP W2 N2T3","8/3/24 11:57","Human",1
"37",1,2,"N2","control","N2T3","MFP W2 N2T3","8/4/24 11:40","Human",NA
"38",1,2,"N2","control","N2T3","MFP W2 N2T3","8/5/24 9:49","Human",NA
"39",1,2,"N2","control","N2T3","MFP W2 N2T3","8/6/24 10:20","Human",NA
"40",1,2,"N2","control","N2T4","MFP W2 N2T4","8/2/24 10:52","Human",2
"41",1,2,"N2","control","N2T4","MFP W2 N2T4","8/3/24 12:18","Human",1
"42",1,2,"N2","control","N2T4","MFP W2 N2T4","8/4/24 11:58","Human",2
"43",1,2,"N2","control","N2T4","MFP W2 N2T4","8/5/24 9:19","Human",2
"44",1,2,"N2","control","N2T4","MFP W2 N2T4","8/6/24 9:46","Human",2
"45",1,2,"N2","control","N2T5","MFP W2 N2T5","7/31/24 14:35","Human",NA
"46",1,2,"N2","control","N2T5","MFP W2 N2T5","8/2/24 13:29","Human",NA
"47",1,2,"N2","control","N2T5","MFP W2 N2T5","8/3/24 12:30","Human",NA
"48",1,2,"N2","control","N2T5","MFP W2 N2T5","8/4/24 12:17","Human",NA
"49",1,2,"N2","control","N2T5","MFP W2 N2T5","8/5/24 11:12","Human",NA
"50",1,2,"N2","control","N2T5","MFP W2 N2T5","8/6/24 11:43","Human",NA
"51",1,2,"N2","control","N2T6","MFP W2 N2T6","8/2/24 11:08","Human",NA
"52",1,2,"N2","control","N2T6","MFP W2 N2T6","8/3/24 11:32","Human",NA
"53",1,2,"N2","control","N2T6","MFP W2 N2T6","8/4/24 12:09","Human",NA
"54",1,2,"N2","control","N2T6","MFP W2 N2T6","8/5/24 9:26","Human",NA
"55",1,2,"N2","control","N2T6","MFP W2 N2T6","8/6/24 9:55","Human",NA
"56",1,2,"N2","control","N2T7","MFP W2 N2T7","8/1/24 11:41","Human",NA
"57",1,2,"N2","control","N2T7","MFP W2 N2T7","8/2/24 10:36","Human",NA
"58",1,2,"N2","control","N2T7","MFP W2 N2T7","8/3/24 12:30","Human",NA
"59",1,2,"N2","control","N2T7","MFP W2 N2T7","8/4/24 12:20","Human",NA
"60",1,2,"N2","control","N2T7","MFP W2 N2T7","8/5/24 9:11","Human",NA
"61",1,2,"N2","control","N2T7","MFP W2 N2T7","8/6/24 9:34","Human",NA
"62",1,2,"N2","control","N2T7","MFP W2 N2T7","8/6/24 14:59","Human",NA
"63",1,2,"N2","control","N2T8","MFP W2 N2T8","7/31/24 13:53","Human",1
"64",1,2,"N2","control","N2T8","MFP W2 N2T8","8/2/24 12:49","Human",1
"65",1,2,"N2","control","N2T8","MFP W2 N2T8","8/3/24 11:17","Human",1
"66",1,2,"N2","control","N2T8","MFP W2 N2T8","8/4/24 10:57","Human",1
"67",1,2,"N2","control","N2T8","MFP W2 N2T8","8/5/24 10:25","Human",1
"68",1,2,"N2","control","N2T8","MFP W2 N2T8","8/6/24 11:05","Human",2
"69",1,2,"N2","control","N2T9","MFP W2 N2T9","7/31/24 12:56","Human",1
"70",1,2,"N2","control","N2T9","MFP W2 N2T9","8/2/24 11:17","Human",1
"71",1,2,"N2","control","N2T9","MFP W2 N2T9","8/3/24 13:28","Human",1
"72",1,2,"N2","control","N2T9","MFP W2 N2T9","8/4/24 13:22","Human",1
"73",1,2,"N2","control","N2T9","MFP W2 N2T9","8/5/24 10:01","Human",10
"74",1,2,"N2","control","N2T9","MFP W2 N2T9","8/6/24 10:20","Human",1
"75",1,2,"N2","control","N2T9","MFP W2 N2T9","8/6/24 13:31","Human",1
"76",1,2,"N2","control","N2T9","MFP W2 N2T9","8/6/24 15:12","Human",1
"77",1,2,"N2","control","N2T9","MFP W2 N2T9","8/6/24 16:43","Human",1
"78",1,2,"N2","control","N2T9","MFP W2 N2T9","8/6/24 18:45","Human",1
"79",1,2,"S2","human","S2T1","MFP W2 S2T1","7/31/24 16:08","Human",1
"80",1,2,"S2","human","S2T1","MFP W2 S2T1","8/2/24 16:32","Human",NA
"81",1,2,"S2","human","S2T1","MFP W2 S2T1","8/3/24 8:11","Human",NA
"82",1,2,"S2","human","S2T1","MFP W2 S2T1","8/3/24 14:47","Human",NA
"83",1,2,"S2","human","S2T1","MFP W2 S2T1","8/4/24 7:44","Human",NA
"84",1,2,"S2","human","S2T1","MFP W2 S2T1","8/4/24 13:50","Human",NA
"85",1,2,"S2","human","S2T1","MFP W2 S2T1","8/5/24 12:04","Human",NA
"86",1,2,"S2","human","S2T1","MFP W2 S2T1","8/6/24 13:30","Human",NA
"87",1,2,"S2","human","S2T10","MFP W2 S2T10","7/31/24 14:37","Human",NA
"88",1,2,"S2","human","S2T10","MFP W2 S2T10","8/2/24 14:16","Human",NA
"89",1,2,"S2","human","S2T10","MFP W2 S2T10","8/3/24 10:15","Human",NA
"90",1,2,"S2","human","S2T10","MFP W2 S2T10","8/4/24 10:01","Human",NA
"91",1,2,"S2","human","S2T10","MFP W2 S2T10","8/5/24 10:55","Human",NA
"92",1,2,"S2","human","S2T10","MFP W2 S2T10","8/6/24 12:01","Human",NA
"93",1,2,"S2","human","S2T11","MFP W2 S2T11","8/2/24 13:18","Human",1
"94",1,2,"S2","human","S2T11","MFP W2 S2T11","8/3/24 10:43","Human",NA
"95",1,2,"S2","human","S2T11","MFP W2 S2T11","8/4/24 10:24","Human",NA
"96",1,2,"S2","human","S2T11","MFP W2 S2T11","8/5/24 10:41","Human",NA
"97",1,2,"S2","human","S2T11","MFP W2 S2T11","8/6/24 11:28","Human",NA
"98",1,2,"S2","human","S2T12","MFP W2 S2T12","7/31/24 15:25","Human",1
"99",1,2,"S2","human","S2T12","MFP W2 S2T12","8/2/24 14:50","Human",NA
"100",1,2,"S2","human","S2T12","MFP W2 S2T12","8/3/24 11:36","Human",1
"101",1,2,"S2","human","S2T12","MFP W2 S2T12","8/4/24 11:11","Human",1
"102",1,2,"S2","human","S2T12","MFP W2 S2T12","8/4/24 14:23","Human",1
"103",1,2,"S2","human","S2T12","MFP W2 S2T12","8/5/24 11:50","Human",1
"104",1,2,"S2","human","S2T12","MFP W2 S2T12","8/6/24 12:51","Human",1
"105",1,2,"S2","human","S2T2","MFP W2 S2T2","8/2/24 17:21","Human",1
"106",1,2,"S2","human","S2T2","MFP W2 S2T2","8/3/24 9:13","Human",1
"107",1,2,"S2","human","S2T2","MFP W2 S2T2","8/4/24 9:07","Human",1
"108",1,2,"S2","human","S2T2","MFP W2 S2T2","8/5/24 12:57","Human",1
"109",1,2,"S2","human","S2T2","MFP W2 S2T2","8/6/24 14:38","Human",1
"110",1,2,"S2","human","S2T3","MFP W2 S2T3","7/31/24 16:44","Human",1
"111",1,2,"S2","human","S2T3","MFP W2 S2T3","8/1/24 10:10","Human",1
"112",1,2,"S2","human","S2T3","MFP W2 S2T3","8/2/24 15:53","Human",1
"113",1,2,"S2","human","S2T3","MFP W2 S2T3","8/3/24 8:20","Human",2
"114",1,2,"S2","human","S2T3","MFP W2 S2T3","8/4/24 8:20","Human",3
"115",1,2,"S2","human","S2T3","MFP W2 S2T3","8/5/24 11:42","Human",2
"116",1,2,"S2","human","S2T3","MFP W2 S2T3","8/6/24 13:55","Human",NA
"117",1,2,"S2","human","S2T4","MFP W2 S2T4","8/2/24 15:35","Human",NA
"118",1,2,"S2","human","S2T4","MFP W2 S2T4","8/3/24 8:56","Human",NA
"119",1,2,"S2","human","S2T4","MFP W2 S2T4","8/4/24 8:44","Human",NA
"120",1,2,"S2","human","S2T4","MFP W2 S2T4","8/5/24 9:58","Human",NA
"121",1,2,"S2","human","S2T4","MFP W2 S2T4","8/5/24 11:34","Human",NA
"122",1,2,"S2","human","S2T4","MFP W2 S2T4","8/6/24 13:19","Human",NA
"123",1,2,"S2","human","S2T5","MFP W2 S2T5","7/31/24 15:58","Human",NA
"124",1,2,"S2","human","S2T5","MFP W2 S2T5","8/2/24 15:19","Human",1
"125",1,2,"S2","human","S2T5","MFP W2 S2T5","8/3/24 9:10","Human",1
"126",1,2,"S2","human","S2T5","MFP W2 S2T5","8/4/24 8:56","Human",1
"127",1,2,"S2","human","S2T5","MFP W2 S2T5","8/5/24 11:25","Human",1
"128",1,2,"S2","human","S2T5","MFP W2 S2T5","8/6/24 13:05","Human",1
"129",1,2,"S2","human","S2T6","MFP W2 S2T6","7/31/24 13:05","Human",NA
"130",1,2,"S2","human","S2T6","MFP W2 S2T6","8/1/24 10:02","Human",NA
"131",1,2,"S2","human","S2T6","MFP W2 S2T6","8/2/24 12:44","Human",NA
"132",1,2,"S2","human","S2T6","MFP W2 S2T6","8/3/24 9:23","Human",NA
"133",1,2,"S2","human","S2T6","MFP W2 S2T6","8/3/24 15:10","Human",NA
"134",1,2,"S2","human","S2T6","MFP W2 S2T6","8/4/24 15:00","Human",NA
"135",1,2,"S2","human","S2T6","MFP W2 S2T6","8/5/24 11:16","Human",NA
"136",1,2,"S2","human","S2T6","MFP W2 S2T6","8/6/24 9:11","Human",NA
"137",1,2,"S2","human","S2T7","MFP W2 S2T7","7/31/24 15:02","Human",1
"138",1,2,"S2","human","S2T7","MFP W2 S2T7","8/2/24 14:29","Human",1
"139",1,2,"S2","human","S2T7","MFP W2 S2T7","8/3/24 10:04","Human",2
"140",1,2,"S2","human","S2T7","MFP W2 S2T7","8/4/24 9:25","Human",NA
"141",1,2,"S2","human","S2T7","MFP W2 S2T7","8/5/24 11:00","Human",NA
"142",1,2,"S2","human","S2T7","MFP W2 S2T7","8/6/24 12:33","Human",NA
"143",1,2,"S2","human","S2T8","MFP W2 S2T8","7/31/24 15:26","Human",NA
"144",1,2,"S2","human","S2T8","MFP W2 S2T8","8/2/24 14:45","Human",NA
"145",1,2,"S2","human","S2T8","MFP W2 S2T8","8/3/24 9:35","Human",NA
"146",1,2,"S2","human","S2T8","MFP W2 S2T8","8/4/24 9:38","Human",NA
"147",1,2,"S2","human","S2T8","MFP W2 S2T8","8/5/24 11:13","Human",NA
"148",1,2,"S2","human","S2T8","MFP W2 S2T8","8/6/24 12:45","Human",NA
"149",1,2,"S2","human","S2T9","MFP W2 S2T9","8/1/24 11:56","Human",NA
"150",1,2,"S2","human","S2T9","MFP W2 S2T9","8/2/24 10:08","Human",NA
"151",1,2,"S2","human","S2T9","MFP W2 S2T9","8/3/24 10:46","Human",NA
"152",1,2,"S2","human","S2T9","MFP W2 S2T9","8/4/24 10:51","Human",NA
"153",1,2,"S2","human","S2T9","MFP W2 S2T9","8/5/24 12:06","Human",NA
"154",1,2,"S2","human","S2T9","MFP W2 S2T9","8/6/24 12:38","Human",NA
"155",1,4,"N2","control","N2T1","MFP W4 N2T1","8/14/24 14:03","Human",NA
"156",1,4,"N2","control","N2T1","MFP W4 N2T1","8/15/24 10:02","Human",NA
"157",1,4,"N2","control","N2T1","MFP W4 N2T1","8/16/24 9:36","Human",NA
"158",1,4,"N2","control","N2T1","MFP W4 N2T1","8/17/24 9:00","Human",NA
"159",1,4,"N2","control","N2T1","MFP W4 N2T1","8/18/24 9:15","Human",NA
"160",1,4,"N2","control","N2T1","MFP W4 N2T1","8/20/24 10:13","Human",NA
"161",1,4,"N2","control","N2T1","MFP W4 N2T1","8/20/24 11:05","Human",NA
"162",1,4,"N2","control","N2T1","MFP W4 N2T1","8/20/24 13:59","Human",NA
"163",1,4,"N2","control","N2T10","MFP W4 N2T10","8/14/24 13:36","Human",NA
"164",1,4,"N2","control","N2T10","MFP W4 N2T10","8/16/24 9:28","Human",NA
"165",1,4,"N2","control","N2T10","MFP W4 N2T10","8/17/24 9:40","Human",NA
"166",1,4,"N2","control","N2T10","MFP W4 N2T10","8/18/24 9:29","Human",NA
"167",1,4,"N2","control","N2T10","MFP W4 N2T10","8/20/24 9:28","Human",NA
"168",1,4,"N2","control","N2T10","MFP W4 N2T10","8/20/24 11:48","Human",NA
"169",1,4,"N2","control","N2T10","MFP W4 N2T10","8/20/24 15:17","Human",NA
"170",1,4,"S2","human","S2T12","MFP W4 N2T12","8/14/24 12:27","Human",1
"171",1,4,"S2","human","S2T12","MFP W4 N2T12","8/15/24 12:57","Human",1
"172",1,4,"S2","human","S2T12","MFP W4 N2T12","8/16/24 12:06","Human",1
"173",1,4,"S2","human","S2T12","MFP W4 N2T12","8/17/24 10:29","Human",1
"174",1,4,"S2","human","S2T12","MFP W4 N2T12","8/18/24 10:49","Human",1
"175",1,4,"S2","human","S2T12","MFP W4 N2T12","8/19/24 11:04","Human",1
"176",1,4,"N2","control","N2T2","MFP W4 N2T2","8/14/24 14:36","Human",NA
"177",1,4,"N2","control","N2T2","MFP W4 N2T2","8/15/24 10:27","Human",NA
"178",1,4,"N2","control","N2T2","MFP W4 N2T2","8/16/24 9:56","Human",NA
"179",1,4,"N2","control","N2T2","MFP W4 N2T2","8/17/24 9:05","Human",NA
"180",1,4,"N2","control","N2T2","MFP W4 N2T2","8/18/24 9:26","Human",NA
"181",1,4,"N2","control","N2T2","MFP W4 N2T2","8/20/24 10:31","Human",NA
"182",1,4,"N2","control","N2T3","MFP W4 N2T3","8/14/24 14:20","Human",NA
"183",1,4,"N2","control","N2T3","MFP W4 N2T3","8/15/24 10:13","Human",NA
"184",1,4,"N2","control","N2T3","MFP W4 N2T3","8/16/24 9:44","Human",NA
"185",1,4,"N2","control","N2T3","MFP W4 N2T3","8/17/24 9:03","Human",NA
"186",1,4,"N2","control","N2T3","MFP W4 N2T3","8/18/24 9:21","Human",NA
"187",1,4,"N2","control","N2T3","MFP W4 N2T3","8/19/24 10:46","Human",NA
"188",1,4,"N2","control","N2T3","MFP W4 N2T3","8/20/24 10:23","Human",NA
"189",1,4,"N2","control","N2T4","MFP W4 N2T4","8/14/24 13:36","Human",NA
"190",1,4,"N2","control","N2T4","MFP W4 N2T4","8/15/24 9:34","Human",NA
"191",1,4,"N2","control","N2T4","MFP W4 N2T4","8/16/24 9:02","Human",NA
"192",1,4,"N2","control","N2T4","MFP W4 N2T4","8/17/24 8:49","Human",NA
"193",1,4,"N2","control","N2T4","MFP W4 N2T4","8/17/24 14:28","Human",NA
"194",1,4,"N2","control","N2T4","MFP W4 N2T4","8/18/24 8:57","Human",NA
"195",1,4,"N2","control","N2T4","MFP W4 N2T4","8/20/24 8:56","Human",NA
"196",1,4,"N2","control","N2T5","MFP W4 N2T5","8/14/24 15:55","Human",NA
"197",1,4,"N2","control","N2T5","MFP W4 N2T5","8/15/24 11:43","Human",1
"198",1,4,"N2","control","N2T5","MFP W4 N2T5","8/16/24 10:19","Human",NA
"199",1,4,"N2","control","N2T5","MFP W4 N2T5","8/17/24 9:53","Human",NA
"200",1,4,"N2","control","N2T5","MFP W4 N2T5","8/18/24 10:06","Human",NA
"201",1,4,"N2","control","N2T5","MFP W4 N2T5","8/20/24 10:08","Human",NA
"202",1,4,"N2","control","N2T6","MFP W4 N2T6","8/14/24 13:41","Human",1
"203",1,4,"N2","control","N2T6","MFP W4 N2T6","8/15/24 9:45","Human",1
"204",1,4,"N2","control","N2T6","MFP W4 N2T6","8/17/24 8:51","Human",1
"205",1,4,"N2","control","N2T6","MFP W4 N2T6","8/18/24 9:02","Human",1
"206",1,4,"N2","control","N2T6","MFP W4 N2T6","8/20/24 9:01","Human",1
"207",1,4,"N2","control","N2T7","MFP W4 N2T7","8/14/24 13:04","Human",10
"208",1,4,"N2","control","N2T7","MFP W4 N2T7","8/15/24 9:21","Human",1
"209",1,4,"N2","control","N2T7","MFP W4 N2T7","8/16/24 8:49","Human",10
"210",1,4,"N2","control","N2T7","MFP W4 N2T7","8/17/24 8:45","Human",NA
"211",1,4,"N2","control","N2T7","MFP W4 N2T7","8/18/24 8:51","Human",NA
"212",1,4,"N2","control","N2T7","MFP W4 N2T7","8/20/24 8:49","Human",NA
"213",1,4,"N2","control","N2T7","MFP W4 N2T7","8/20/24 10:54","Human",NA
"214",1,4,"N2","control","N2T7","MFP W4 N2T7","8/20/24 14:12","Human",NA
"215",1,4,"N2","control","N2T8","MFP W4 N2T8","8/15/24 11:00","Human",1
"216",1,4,"N2","control","N2T8","MFP W4 N2T8","8/16/24 10:09","Human",1
"217",1,4,"N2","control","N2T8","MFP W4 N2T8","8/18/24 8:40","Human",1
"218",1,4,"N2","control","N2T8","MFP W4 N2T8","8/20/24 8:41","Human",2
"219",1,4,"N2","control","N2T9","MFP W4 N2T9","8/14/24 13:46","Human",1
"220",1,4,"N2","control","N2T9","MFP W4 N2T9","8/15/24 10:04","Human",1
"221",1,4,"N2","control","N2T9","MFP W4 N2T9","8/16/24 9:35","Human",1
"222",1,4,"N2","control","N2T9","MFP W4 N2T9","8/17/24 9:38","Human",1
"223",1,4,"N2","control","N2T9","MFP W4 N2T9","8/20/24 9:30","Human",1
"224",1,4,"S2","human","S2T1","MFP W4 S2T1","8/14/24 7:53","Human",1
"225",1,4,"S2","human","S2T1","MFP W4 S2T1","8/14/24 9:00","Human",1
"226",1,4,"S2","human","S2T1","MFP W4 S2T1","8/15/24 10:09","Human",1
"227",1,4,"S2","human","S2T1","MFP W4 S2T1","8/15/24 13:21","Human",1
"228",1,4,"S2","human","S2T1","MFP W4 S2T1","8/16/24 12:40","Human",NA
"229",1,4,"S2","human","S2T1","MFP W4 S2T1","8/17/24 9:55","Human",NA
"230",1,4,"S2","human","S2T1","MFP W4 S2T1","8/18/24 10:44","Human",NA
"231",1,4,"S2","human","S2T1","MFP W4 S2T1","8/19/24 8:11","Human",NA
"232",1,4,"S2","human","S2T1","MFP W4 S2T1","8/20/24 11:49","Human",NA
"233",1,4,"S2","human","S2T10","MFP W4 S2T10","8/14/24 11:15","Human",NA
"234",1,4,"S2","human","S2T10","MFP W4 S2T10","8/15/24 12:00","Human",NA
"235",1,4,"S2","human","S2T10","MFP W4 S2T10","8/16/24 11:17","Human",NA
"236",1,4,"S2","human","S2T10","MFP W4 S2T10","8/17/24 9:32","Human",NA
"237",1,4,"S2","human","S2T10","MFP W4 S2T10","8/18/24 9:53","Human",NA
"238",1,4,"S2","human","S2T10","MFP W4 S2T10","8/20/24 11:00","Human",NA
"239",1,4,"S2","human","S2T11","MFP W4 S2T11","8/14/24 11:58","Human",NA
"240",1,4,"S2","human","S2T11","MFP W4 S2T11","8/15/24 8:20","Human",NA
"241",1,4,"S2","human","S2T11","MFP W4 S2T11","8/16/24 8:01","Human",NA
"242",1,4,"S2","human","S2T11","MFP W4 S2T11","8/17/24 8:34","Human",NA
"243",1,4,"S2","human","S2T11","MFP W4 S2T11","8/18/24 8:22","Human",NA
"244",1,4,"S2","human","S2T11","MFP W4 S2T11","8/19/24 11:34","Human",NA
"245",1,4,"S2","human","S2T11","MFP W4 S2T11","8/20/24 8:18","Human",NA
"246",1,4,"S2","human","S2T12","MFP W4 S2T12","8/14/24 12:27","Human",1
"247",1,4,"S2","human","S2T12","MFP W4 S2T12","8/15/24 12:57","Human",NA
"248",1,4,"S2","human","S2T12","MFP W4 S2T12","8/16/24 12:06","Human",NA
"249",1,4,"S2","human","S2T12","MFP W4 S2T12","8/17/24 10:29","Human",NA
"250",1,4,"S2","human","S2T12","MFP W4 S2T12","8/18/24 10:49","Human",NA
"251",1,4,"S2","human","S2T12","MFP W4 S2T12","8/19/24 11:04","Human",NA
"252",1,4,"S2","human","S2T2","MFP W4 S2T2","8/14/24 10:01","Human",2
"253",1,4,"S2","human","S2T2","MFP W4 S2T2","8/15/24 14:12","Human",NA
"254",1,4,"S2","human","S2T2","MFP W4 S2T2","8/16/24 13:32","Human",NA
"255",1,4,"S2","human","S2T2","MFP W4 S2T2","8/17/24 10:54","Human",NA
"256",1,4,"S2","human","S2T2","MFP W4 S2T2","8/18/24 11:38","Human",NA
"257",1,4,"S2","human","S2T2","MFP W4 S2T2","8/20/24 12:44","Human",NA
"258",1,4,"S2","human","S2T3","MFP W4 S2T3","8/15/24 13:03","Human",1
"259",1,4,"S2","human","S2T3","MFP W4 S2T3","8/16/24 12:24","Human",2
"260",1,4,"S2","human","S2T3","MFP W4 S2T3","8/17/24 9:52","Human",1
"261",1,4,"S2","human","S2T3","MFP W4 S2T3","8/18/24 10:33","Human",1
"262",1,4,"S2","human","S2T3","MFP W4 S2T3","8/20/24 11:39","Human",1
"263",1,4,"S2","human","S2T4","MFP W4 S2T4","8/14/24 9:38","Human",NA
"264",1,4,"S2","human","S2T4","MFP W4 S2T4","8/15/24 12:53","Human",NA
"265",1,4,"S2","human","S2T4","MFP W4 S2T4","8/16/24 12:14","Human",NA
"266",1,4,"S2","human","S2T4","MFP W4 S2T4","8/17/24 9:48","Human",NA
"267",1,4,"S2","human","S2T4","MFP W4 S2T4","8/18/24 10:27","Human",NA
"268",1,4,"S2","human","S2T4","MFP W4 S2T4","8/20/24 11:28","Human",NA
"269",1,4,"S2","human","S2T5","MFP W4 S2T5","8/15/24 12:41","Human",NA
"270",1,4,"S2","human","S2T5","MFP W4 S2T5","8/16/24 12:05","Human",NA
"271",1,4,"S2","human","S2T5","MFP W4 S2T5","8/17/24 9:44","Human",NA
"272",1,4,"S2","human","S2T5","MFP W4 S2T5","8/18/24 10:22","Human",NA
"273",1,4,"S2","human","S2T5","MFP W4 S2T5","8/19/24 9:25","Human",NA
"274",1,4,"S2","human","S2T5","MFP W4 S2T5","8/20/24 11:23","Human",NA
"275",1,4,"S2","human","S2T6","MFP W4 S2T6","8/14/24 10:06","Human",NA
"276",1,4,"S2","human","S2T6","MFP W4 S2T6","8/16/24 11:14","Human",NA
"277",1,4,"S2","human","S2T6","MFP W4 S2T6","8/17/24 9:42","Human",NA
"278",1,4,"S2","human","S2T6","MFP W4 S2T6","8/18/24 4:24","Human",1
"279",1,4,"S2","human","S2T6","MFP W4 S2T6","8/20/24 12:38","Human",NA
"280",1,4,"S2","human","S2T7","MFP W4 S2T7","8/14/24 10:44","Human",NA
"281",1,4,"S2","human","S2T7","MFP W4 S2T7","8/15/24 12:11","Human",NA
"282",1,4,"S2","human","S2T7","MFP W4 S2T7","8/16/24 11:28","Human",NA
"283",1,4,"S2","human","S2T7","MFP W4 S2T7","8/17/24 9:34","Human",NA
"284",1,4,"S2","human","S2T7","MFP W4 S2T7","8/18/24 9:57","Human",NA
"285",1,4,"S2","human","S2T7","MFP W4 S2T7","8/20/24 11:05","Human",NA
"286",1,4,"S2","human","S2T8","MFP W4 S2T8","8/14/24 10:26","Human",NA
"287",1,4,"S2","human","S2T8","MFP W4 S2T8","8/15/24 12:22","Human",NA
"288",1,4,"S2","human","S2T8","MFP W4 S2T8","8/16/24 11:39","Human",NA
"289",1,4,"S2","human","S2T8","MFP W4 S2T8","8/17/24 9:39","Human",NA
"290",1,4,"S2","human","S2T8","MFP W4 S2T8","8/18/24 9:58","Human",NA
"291",1,4,"S2","human","S2T8","MFP W4 S2T8","8/20/24 11:12","Human",NA
"292",1,4,"S2","human","S2T9","MFP W4 S2T9","8/15/24 12:33","Human",1
"293",1,4,"S2","human","S2T9","MFP W4 S2T9","8/16/24 11:41","Human",1
"294",1,4,"S2","human","S2T9","MFP W4 S2T9","8/17/24 9:36","Human",NA
"295",1,4,"S2","human","S2T9","MFP W4 S2T9","8/18/24 10:42","Human",NA
"296",1,4,"S2","human","S2T9","MFP W4 S2T9","8/19/24 14:53","Human",NA
"297",1,4,"S2","human","S2T9","MFP W4 S2T9","8/20/24 9:53","Human",NA
"298",1,4,"S2","human","S2T9","MFP W4 S2T9","8/20/24 10:49","Human",NA
"299",2,7,"N2","human","N2T1","MFP W7 N2T1","9/16/24 10:22","Human",NA
"300",2,7,"N2","human","N2T1","MFP W7 N2T1","9/17/24 9:41","Human",NA
"301",2,7,"N2","human","N2T1","MFP W7 N2T1","9/18/24 11:15","Human",NA
"302",2,7,"N2","human","N2T1","MFP W7 N2T1","9/19/24 9:34","Human",NA
"303",2,7,"N2","human","N2T1","MFP W7 N2T1","9/20/24 9:30","Human",NA
"304",2,7,"N2","human","N2T1","MFP W7 N2T1","9/22/24 9:30","Human",NA
"305",2,7,"N2","human","N2T1","MFP W7 N2T1","9/22/24 21:12","Human",NA
"306",2,7,"N2","human","N2T1","MFP W7 N2T1","9/22/24 22:15","Human",NA
"307",2,7,"N2","human","N2T10","MFP W7 N2T10","9/16/24 11:39","Human",1
"308",2,7,"N2","human","N2T10","MFP W7 N2T10","9/17/24 9:15","Human",1
"309",2,7,"N2","human","N2T10","MFP W7 N2T10","9/18/24 12:37","Human",NA
"310",2,7,"N2","human","N2T10","MFP W7 N2T10","9/18/24 19:01","Human",NA
"311",2,7,"N2","human","N2T10","MFP W7 N2T10","9/19/24 8:25","Human",NA
