"","date","grid","treatment","transect","id","genus","species","damage","percent","dbh","height"
"101","10/14/24","S2","control","S2_A",225,"vachellia","etbaica","lb",75,4,2.6
"102","10/14/24","S2","control","S2_A",226,"vachellia","etbaica","sb",1,NA,3.8
"103","10/14/24","S2","control","S2_A",227,"vachellia","etbaica","lb",40,NA,2.9
"104","10/14/24","S2","control","S2_A",227,"vachellia","etbaica","ba",25,NA,2.9
"105","10/14/24","S2","control","S2_A",228,"vachellia","melifera","sb",1,NA,1.3
"106","10/14/24","S2","control","S2_A",229,"vachellia","etbaica","sb",1,NA,2.4
"107","10/14/24","S2","control","S2_A",230,"vachellia","etbaica","lb",10,35,4.1
"108","10/14/24","S2","control","S2_A",231,"vachellia","etbaica","sb",1,39,4.9
"109","10/14/24","S2","control","S2_A",232,"vachellia","etbaica","sb",1,NA,3.6
"110","10/14/24","S2","control","S2_A",233,"vachellia","etbaica","sb",1,16,3.3
"111","10/14/24","S2","control","S2_A",234,"vachellia","etbaica","sb",1,14,3.4
"112","10/14/24","S2","control","S2_A",235,"vachellia","etbaica","lb",50,9,4.2
"113","10/14/24","S2","control","S2_A",236,"vachellia","etbaica","sb",1,12,4.1
"114","10/14/24","S2","control","S2_A",237,"vachellia","etbaica","sb",10,NA,2.9
"115","10/14/24","S2","control","S2_A",238,"vachellia","etbaica","sb",15,NA,3.2
"116","10/14/24","S2","control","S2_A",239,"vachellia","etbaica","lb",1,NA,3.1
"117","10/14/24","S2","control","S2_A",240,"vachellia","etbaica","sb",1,NA,4.5
"118","10/14/24","S2","control","S2_A",241,"vachellia","etbaica","sb",1,NA,4.6
"119","10/14/24","S2","control","S2_A",242,"vachellia","etbaica","sb",1,11,4.3
"120","10/14/24","S2","control","S2_A",243,"vachellia","etbaica","sb",2,NA,1
"121","10/14/24","S2","control","S2_A",244,"vachellia","melifera","sb",25,NA,1.5
"122","10/14/24","S2","control","S2_A",245,"vachellia","etbaica","sb",1,NA,3.6
"123","10/14/24","S2","control","S2_A",246,"vachellia","etbaica","sb",5,NA,3.4
"124","10/14/24","S2","control","S2_A",247,"vachellia","etbaica","sb",1,14,3.1
"125","10/14/24","S2","control","S2_A",248,"vachellia","tortilis","sb",1,56,5
"126","10/14/24","S2","control","S2_A",249,"vachellia","melifera","sb",5,NA,2
"127","10/14/24","S2","control","S2_A",250,"vachellia","melifera","sb",1,NA,0.5
"128","10/14/24","S2","control","S2_A",251,"vachellia","melifera","sb",2,NA,1.6
"129","10/14/24","S2","control","S2_A",252,"vachellia","melifera","sb",5,NA,1.3
"130","10/14/24","S2","control","S2_A",253,"vachellia","etbaica","lb",20,NA,2.5
"131","10/14/24","S2","control","S2_A",254,"vachellia","melifera","sb",1,NA,2.1
"132","10/14/24","S2","control","S2_A",255,"vachellia","etbaica","sb",2,15,3.3
"133","10/14/24","S2","control","S2_A",256,"vachellia","melifera","ba",45,14,2.9
"134","10/14/24","S2","control","S2_A",256,"vachellia","melifera","lb",60,14,2.9
"135","10/14/24","S2","control","S2_A",257,"vachellia","melifera","sb",4,NA,2.7
"136","10/14/24","S2","control","S2_A",258,"vachellia","etbaica","sb",1,NA,2.2
"137","10/14/24","S2","control","S2_A",259,"vachellia","etbaica","ba",40,28,5.4
"138","10/14/24","S2","control","S2_A",259,"vachellia","etbaica","lb",20,28,5.4
"139","10/14/24","S2","control","S2_A",260,"vachellia","melifera","sb",1,NA,2.1
"140","10/14/24","S2","control","S2_A",261,"vachellia","melifera","sb",1,NA,1.6
"141","10/14/24","S2","control","S2_B",262,"vachellia","etbaica","sb",1,NA,4.6
"142","10/14/24","S2","control","S2_B",263,"vachellia","etbaica","lb",70,NA,0.6
"143","10/14/24","S2","control","S2_B",264,"vachellia","etbaica","sb",1,NA,2.5
"144","10/14/24","S2","control","S2_B",265,"vachellia","melifera","sb",1,NA,2.1
"145","10/14/24","S2","control","S2_B",266,"vachellia","etbaica","sb",1,NA,2.3
"146","10/14/24","S2","control","S2_B",267,"vachellia","etbaica","lb",25,NA,1.8
"147","10/14/24","S2","control","S2_C",268,"vachellia","etbaica","lb",20,NA,2.1
"148","10/14/24","S2","control","S2_C",269,"vachellia","melifera","sb",10,NA,2.8
"149","10/14/24","S2","control","S2_C",270,"vachellia","etbaica","sb",1,NA,3.2
"150","10/14/24","S2","control","S2_C",271,"vachellia","etbaica","sb",1,NA,4.3
"151","10/14/24","S2","control","S2_C",271,"vachellia","etbaica","lb",5,NA,4.3
"152","10/14/24","S2","control","S2_C",272,"vachellia","etbaica","sb",1,NA,3.7
"153","10/14/24","S2","control","S2_C",273,"vachellia","etbaica","sb",1,NA,5.1
"154","10/14/24","S2","control","S2_C",274,"vachellia","etbaica","sb",1,NA,5.3
"155","10/14/24","S2","control","S2_C",275,"vachellia","etbaica","sb",1,16,4.4
"156","10/14/24","S2","control","S2_C",276,"vachellia","melifera","wt",100,13,2.4
"157","10/14/24","S2","control","S2_C",178,"vachellia","melifera","sb",10,NA,2.1
"158","10/14/24","S2","control","S2_C",277,"vachellia","melifera","sb",5,NA,3.7
"159","10/14/24","S2","control","S2_C",278,"vachellia","etbaica","sb",1,NA,3.9
"160","10/14/24","S2","control","S2_C",279,"vachellia","etbaica","lb",40,NA,2.9
"161","10/14/24","S2","control","S2_C",110,"vachellia","melifera","lb",45,NA,3.2
"162","10/14/24","S2","control","S2_C",280,"vachellia","melifera","sb",5,NA,3.1
"163","10/14/24","S2","control","S2_C",39,"vachellia","etbaica","sb",10,NA,4.8
"164","10/14/24","S2","control","S2_C",281,"vachellia","etbaica","sb",1,NA,4.5
"165","10/14/24","S2","control","S2_C",282,"vachellia","melifera","sb",1,NA,1.1
"166","10/14/24","S2","control","S2_C",283,"vachellia","etbaica","sb",1,NA,1.4
"167","10/14/24","S2","control","S2_C",284,"vachellia","etbaica","sb",1,NA,3.4
"168","10/14/24","S2","control","S2_C",285,"vachellia","etbaica","sb",1,NA,3.6
"169","10/14/24","S2","control","S2_C",286,"vachellia","xanthophloea","lb",1,NA,6
"170","10/14/24","S2","control","S2_C",287,"vachellia","etbaica","lb",2,NA,4.2
"171","10/14/24","S2","control","S2_C",288,"vachellia","etbaica","lb",35,NA,3.2
"172","10/14/24","S2","control","S2_C",289,"vachellia","etbaica","sb",1,NA,3.3
"173","10/14/24","S2","control","S2_C",290,"vachellia","etbaica","sb",1,NA,5.6
"174","10/14/24","S2","control","S2_C",291,"vachellia","melifera","sb",5,NA,3.4
"175","10/14/24","S2","control","S2_C",291,"vachellia","melifera","ba",5,NA,3.4
"176","10/14/24","S2","control","S2_C",292,"vachellia","etbaica","lb",55,NA,3.2
"177","10/14/24","S2","control","S2_C",293,"vachellia","etbaica","sb",10,NA,2.1
"178","10/14/24","S2","control","S2_C",293,"vachellia","etbaica","lb",10,NA,2.1
"179","10/14/24","S2","control","S2_C",294,"vachellia","etbaica","sb",15,NA,2.6
"180","10/14/24","S2","control","S2_C",295,"vachellia","etbaica","sb",1,NA,2
"181","10/14/24","S2","control","S2_C",296,"vachellia","melifera","sb",5,NA,1.1
"182","10/14/24","S2","control","S2_C",297,"vachellia","melifera","sb",5,NA,2.1
"183","10/14/24","S2","control","S2_C",298,"vachellia","melifera","sb",15,NA,2.2
"184","10/14/24","S2","control","S2_C",299,"vachellia","etbaica","sb",2,NA,2
"185","10/14/24","S2","control","S2_C",300,"vachellia","etbaica","sb",1,NA,5.3
"186","10/14/24","S2","control","S2_C",301,"vachellia","etbaica","sb",5,NA,2.3
"187","10/14/24","S2","control","S2_C",302,"vachellia","etbaica","sb",1,NA,2.4
"188","10/14/24","S2","control","S2_C",303,"vachellia","etbaica","sb",5,NA,3.9
"189","10/14/24","S2","control","S2_C",304,"vachellia","etbaica","sb",1,NA,3.1
"190","10/14/24","S2","control","S2_C",305,"vachellia","etbaica","sb",10,NA,2.8
"191","10/14/24","S2","control","S2_C",306,"vachellia","etbaica","sb",1,NA,2.7
"192","10/14/24","S2","control","S2_C",307,"vachellia","melifera","sb",1,NA,3.7
"193","10/14/24","S2","control","S2_C",307,"vachellia","melifera","ba",2,NA,3.7
"194","10/14/24","S2","control","S2_C",308,"vachellia","melifera","sb",25,NA,1.9
"195","10/14/24","S2","control","S2_C",308,"vachellia","melifera","lb",25,NA,1.9
"196","10/14/24","S2","control","S2_C",309,"vachellia","melifera","lb",75,NA,2.2
"197","10/14/24","S2","control","S2_C",310,"vachellia","melifera","sb",5,NA,3.1
"198","10/14/24","S2","control","S2_C",311,"vachellia","melifera","sb",1,NA,2.6
"199","10/14/24","S2","control","S2_C",312,"vachellia","melifera","sb",1,NA,2.3
"200","10/14/24","S2","control","S2_C",313,"vachellia","etbaica","sb",2,NA,6.2
